4195A Spectrum Analyzer 2021/01/12 18:32:27,Commercial Radio FM Band,,
N,FREQUENCY [ Hz ],DBm,Phase
140,96950000.000000,-8.513740e+01,-1.507190e+02
141,97000000.000000,-8.504120e+01,-1.493180e+02
142,97050000.000000,-8.651710e+01,-1.477510e+02
143,97100000.000000,-8.239230e+01,-1.463090e+02
144,97150000.000000,-8.392390e+01,-1.448440e+02
145,97200000.000000,-8.309790e+01,-1.433860e+02
146,97250000.000000,-8.187220e+01,-1.418360e+02
147,97300000.000000,-8.456030e+01,-1.404140e+02
148,97350000.000000,-8.579070e+01,-1.389050e+02
149,97400000.000000,-8.599150e+01,-1.374830e+02
150,97450000.000000,-9.434880e+01,-1.359510e+02
151,97500000.000000,-8.747840e+01,-1.344470e+02
152,97550000.000000,-8.483830e+01,-1.330530e+02
153,97600000.000000,-8.558870e+01,-1.314500e+02
154,97650000.000000,-9.041380e+01,-1.298830e+02
155,97700000.000000,-8.360170e+01,-1.284880e+02
156,97750000.000000,-8.045860e+01,-1.269910e+02
157,97800000.000000,-8.427080e+01,-1.254840e+02
158,97850000.000000,-8.095240e+01,-1.239810e+02
159,97900000.000000,-8.177240e+01,-1.225340e+02
160,97950000.000000,-7.935220e+01,-1.210190e+02
161,98000000.000000,-8.391990e+01,-1.194990e+02
162,98050000.000000,-8.919720e+01,-1.178600e+02
163,98100000.000000,-8.576620e+01,-1.164210e+02
164,98150000.000000,-8.201230e+01,-1.149060e+02
165,98200000.000000,-8.028770e+01,-1.133310e+02
166,98250000.000000,-8.423230e+01,-1.118940e+02
167,98300000.000000,-8.599050e+01,-1.103760e+02
168,98350000.000000,-8.363860e+01,-1.088890e+02
169,98400000.000000,-8.304150e+01,-1.073180e+02
170,98450000.000000,-8.832120e+01,-1.057850e+02
171,98500000.000000,-8.647910e+01,-1.043030e+02
172,98550000.000000,-8.530800e+01,-1.027080e+02
173,98600000.000000,-8.176130e+01,-1.011070e+02
174,98650000.000000,-7.781390e+01,-9.964060e+01
175,98700000.000000,-7.547660e+01,-9.812580e+01
176,98750000.000000,-7.895940e+01,-9.663940e+01
177,98800000.000000,-8.387650e+01,-9.510260e+01
178,98850000.000000,-8.481150e+01,-9.353700e+01
179,98900000.000000,-8.486780e+01,-9.203050e+01
180,98950000.000000,-9.156780e+01,-9.050320e+01
181,99000000.000000,-8.279680e+01,-8.868150e+01
182,99050000.000000,-8.103910e+01,-8.719280e+01
183,99100000.000000,-8.933390e+01,-8.566580e+01
184,99150000.000000,-8.627860e+01,-8.403950e+01
185,99200000.000000,-8.672800e+01,-8.255020e+01
186,99250000.000000,-8.666240e+01,-8.097520e+01
187,99300000.000000,-8.176140e+01,-7.942470e+01
188,99350000.000000,-8.505930e+01,-7.795150e+01
189,99400000.000000,-8.334480e+01,-7.638720e+01
190,99450000.000000,-8.295820e+01,-7.486560e+01
191,99500000.000000,-8.087280e+01,-7.327450e+01
192,99550000.000000,-8.328110e+01,-7.175570e+01
